ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
44fc8583cf2618a5d1a37ee41338e8f2	Fungi	 Mucoromycota	 Umbelopsidomycetes	 Umbelopsidales	 Umbelopsidaceae	 Umbelopsis	 Umbelopsis_sp
4afea400cd800a70f27e6546ffddcd03	Fungi	 Ascomycota	 Dothideomycetes	 Mycosphaerellales	 Teratosphaeriaceae	 Teratosphaeriaceae_gen_Incertae_sedis	 Teratosphaeriaceae_sp
45100a9b984ebb6457c30630694ac730	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Nectriaceae	 Fusarium	 Fusarium_langsethiae
c5f23f835ba6ffad5e9c2656ba90ded3	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Hyaloscypha	
fbff8205ecdc564fb15d1440f5ae7dad	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Articulospora	 Articulospora_sp
6a72fa7a7e297b9d5ab1b35a659e5d63	Fungi						
4bc98a0ea994fce0688b4495706e33ce	Fungi	 Basidiomycota	 Agaricomycetes				
90ffbb04f82968555ca6296e7d034924	Fungi	 Basidiomycota	 Agaricomycetes	 Russulales	 Russulaceae	 Lactarius	 Lactarius_pseudodeceptivus
9d1874609c9a378df06077bc53510813	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
5fba296877e039e1197ee0bdba406d80	Fungi	 Mortierellomycota	 Mortierellomycetes	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella_sp
5fe393cbd14cb485023c24a3198e026e	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Inocybaceae	 Inocybe	
c075b8ce66a82faeb961a5ea9ed8d4e4	Fungi	 Ascomycota	 Leotiomycetes	 Rhytismatales	 Rhytismataceae	 Lophodermium	 Lophodermium_piceae
9db695317b6780b61092acab0cfd655e	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leotiaceae	 Pezoloma	
b5cab2d7821807eb5eb414859432fc8f	Fungi	 Basidiomycota	 Cystobasidiomycetes	 Cystobasidiales	 Cystobasidiaceae	 Occultifur	 Occultifur_sp
65ac93e6b7b65f8b70da74d87c26d86c	Fungi	 Ascomycota	 Lecanoromycetes	 Lecanoromycetes_ord_Incertae_sedis	 Micropeltidaceae	 Micropeltidaceae_gen_Incertae_sedis	 Micropeltidaceae_sp
63f045ba6d8618303a3b4ee75c7f3760	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Cucurbitariaceae	 Pyrenochaetopsis	 Pyrenochaetopsis_leptospora
73bca5cdc1067f71279d4ece1e49978c	Fungi	 Ascomycota	 Eurotiomycetes	 Sclerococcales	 Sclerococcaceae	 Sclerococcum	 Sclerococcum_sp
8c99cb26870f0b67c3e679f0d6d5a910	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
a8ce7cbb1c2840cebdce2bf23775b145	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Hypocreales_fam_Incertae_sedis	 Acremonium	 Acremonium_cavaraeanum
d2bdfa84b74827350787b8c6e7cb3e87	Fungi	 Ascomycota	 Leotiomycetes	 Leotiomycetes_ord_Incertae_sedis	 Leotiomycetes_fam_Incertae_sedis	 Leotiomycetes_gen_Incertae_sedis	 Leotiomycetes_sp
f256565175d6ff110fdd2a20f0bebceb	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Chaetothyriales_fam_Incertae_sedis	 Chaetothyriales_gen_Incertae_sedis	 Chaetothyriales_sp
